journal,abstract
Journal of Linguistic Geography,"In this paper we provide a preliminary characterization of the phonemic trill (i.e., /r/) as produced by twenty-four speakers of northern and central Peninsular Spanish. The acoustic analysis revealed a considerable number of non-canonical variants containing one or zero apical occlusions. The quantitative results showed robust effects of the following three factors on trill articulation: Speaker dialect, gender, and preceding vowel. Regarding social factors, central Peninsular speakers and male speakers showed the greatest propensity to produce fewer occlusions per phonemic trill. Regarding linguistic factors, non-canonical variants were especially common in contexts of preceding /u/; we interpret this result on articulatory grounds given the antagonistic gestures required for the trill and the high back vowel. All in all, these findings offer empirical support that geographically-oriented studies within a sociophonetic framework offer critical information on the diachrony of trill consonants."
Journal of Linguistic Geography,"Dialectometric intensity estimation as introduced in Rumpf etal. (2009) and Pickl and Rumpf (2011, 2012) is a method for the unsupervised generation of maps visualizing geolinguistic data on the level of linguistic variables. It also extracts spatial information for subsequent statistical analysis. However, as intensity estimation involves geographically conditioned smoothing, this method can lead to undesirable results. Geolinguistically relevant structures such as rivers, political borders or enclaves, for instance, are not taken into account and thus their manifestations in the distributions of linguistic variants are blurred. A possible solution to this problem, as suggested and put to the test in this paper, is to use linguistic distances rather than geographical (Euclidean) distances in the estimation. This methodological adjustment leads to maps which render geolinguistic distributions more faithfully, especially in areas that are deemed critical for the interpretation of the resulting maps and for subsequent statistical analyses of the results."
Journal of Linguistic Geography,"Morphosyntactic dialect variation, once a neglected area of dialect research, has recently witnessed a large growth in interest. Various methods from geospatial data analysis have been applied to morphosyntactic data. To date, the focus has largely been on analyzing the distribution of stable patterns of variation. This article extends this work to examine patterns of ongoing change. It uses a body of data from the Syntactic Atlas of Welsh Dialects and the Siarad Corpus of spoken Welsh to examine the innovation and diffusion of a new second-person singular pronoun, chdi , testing the usefulness of Geographically Weighted Regression (GWR) as a method for identifying and modeling patterns of ongoing syntactic change. It is shown that GWR provides plausible models of the diachronic development of changes that are still in progress. Furthermore, it allows us to test whether rates of change are constant across geographical space, allowing us to test whether the Constant Rate Hypothesis (that diffusion of change proceeds at the same rate in different environments) holds between dialects."
Journal of Linguistic Geography,"This article presents computer supported “language production experiments” (LPEs) as a method for the investigation of syntactic variation. It describes the setup for the investigation of numerous syntactic phenomena and provides a sample study of the German GET passive across Austria. It also suggests that LPEs offer possibilities for the targeted investigation of linguistic variation in various ways. They may be used to explore speakers’ individual linguistic repertoires and an according corpus setup can be used to examine e.g., interspeaker patterns of variation. LPEs also enable researchers to investigate which linguistic factors control or influence syntactic variation."
Journal of Linguistic Geography,"In this paper, ideas from perceptual dialectology, linguistics of speech, and cognitive science are drawn upon to explain the perceptions of others’ speech. The perceptual map task, based on Preston’s “Draw-a-map methodology,” was collected from 215 respondents in Poland and transformed into result maps. The second step in the analysis of the perceptual maps was to collect all of the labels that were assigned to the perceived speech varieties around the country. Those two facets of the data show how the idea of connecting speech with a specific locality can be observed quantitatively. The results propose an explanation of the distribution of speech perceptions in Poland. The shape of the perceptions is created through activating gestalt processes to arrive with an observational artifact. Those are based mostly on the concept of geography facilitated by shared cultural schemas. All of those steps lead to a creation of multidimensional perceptual regions."
Journal of Linguistic Geography,"In this paper we introduce a computationally enriched experimental tool designed to investigate language ideology (change). In a free response experiment, 211 respondents returned three adjectives in reaction to the labels for five regional varieties, one ethnic variety and two supra-regional varieties of Belgian Dutch, as well as the standard accent of Netherlandic Dutch. Valence information (pertaining to the positive/negative character of the responses) and big data–based distributional analysis (to detect semantic similarity between the responses) were used to cluster the response adjectives into 11 positive and 11 negative evaluative dimensions. Correspondence analysis was subsequently used to compute and visualize the associations between these evaluative dimensions and the investigated language labels, in order to generate “perceptual maps” of the Belgian language repertoire. Contrary to our expectations, these maps unveiled not only the dominant value system which drives standard usage, but also the competing ideology which frames the increasingly occurring non-standard forms. In addition, they revealed a much richer stratification than the “one variety good, all other varieties bad” dichotomy we had anticipated: while VRT-Dutch remains the superior (albeit increasingly virtual) standard for Belgian Dutch, the stigmatized colloquial variety Tussentaal is gradually being accepted as a practical lingua franca, and the Ghent-accent is boosted by modern prestige (dynamism) features. Even more crucially, separate perceptual maps for the older and younger respondents lay bare generational change: there is a growing conceptual proximity between VRT-Dutch and Tussentaal in the younger perceptions."
Journal of Linguistic Geography,"Pluricentric approaches to international varieties have been a mainstay in English dialectology since the 1980s, often implied rather than expressed. What is standard lore in many philologies is today questioned in one philology, however. This paper assesses the pros and cons of the so-called “pluri-areal” perspective, which has in the past few years become prominent in German dialectology. Intended to replace the pluricentric model, “pluri-arealist” perspectives affect the modelling of German standard varieties in Austria and Switzerland, among others. Attempting to falsify claims on both sides, this paper argues from an English-German comparative perspective that the idiosyncratic treatment of national varieties in one context is a problem that threatens the unity of the field regarding how the standard is seen in relation to other varieties. It is shown that the base of the “pluri-areal” paradigm is an a-theoretical perspective of geographical variation that adheres implicitly to a One Standard German Axiom . This meta-theoretical paper suggests three principles to prevent such terminologically-fuelled confusion henceforth."
Journal of Linguistic Geography,"This perceptual-dialectology study investigates how listener-related social factors impact the geographical recognition of regional accents. In contrast to much prior research on English, our focus is on Dutch, which lends itself well to our study, allowing for notable regional accents within a well-defined standard language. Using a map-based recognition task in which 1,578 listeners placed forty representative speakers on a map based on fragments of their speech, we investigated the regional biases in accent recognition and the extent to which each listener’s awareness of these depends on their familiarity and proximity. Education, geographical knowledge, and distance to listeners’ own regions significantly predicted their accent-recognition accuracy. Moreover, we found a curvilinear age effect, which we interpret in terms of age-related changes in geographical and social mobility. We show how these effects in our design lead to meaningful accent-recognition patterns in groups of listeners."
Journal of Linguistic Geography,"This paper presents the results of the first investigation into Kurdish linguistic varieties and their spatial distribution. Kurdish dialects are used across five nation states in the Middle East and only one dialect, Sorani, has official status in one of these nation states. The study employs the “draw-a-map” task established in Perceptual Dialectology; the analysis is supported by Geographical Information Systems (GIS). The results show that, despite the geolinguistic and geopolitical situation, Kurdish respondents have good knowledge of the main varieties of their language (Kurmanji, Sorani, and the related variety Zazaki) and where to localize them. Awareness of the more diverse Southern Kurdish varieties is less definitive. This indicates that the Kurdish language plays a role in identity formation, but also that smaller isolated varieties are not only endangered in terms of speakers, but also in terms of their representations in Kurds’ mental maps of the linguistic landscape they live in."
Journal of Linguistic Geography,"This paper examines code choices in the written linguistic landscape of the Republic of the Marshall Islands (RMI). Due to a history of language imposition, the Marshall Islanders have long been denied the opportunity to express their linguistic identity in the public domain. A recently proposed bilingual language policy, which requires all public signs to be Marshallese-English bilingual, aims to change this status quo. We map language choices in the linguistic landscape of the RMI at the cusp of this policy with an eye on the stakeholders, production processes, and audiences involved in the creation and reception of the linguistic landscape. State-of-the-art geographical and regression analyses model the factors that govern code choices in the linguistic landscape of the RMI. Our findings allow us to pinpoint niches—both geographical as well as social—where the Marshallese assert their linguistic identity in the public realm."
Journal of Linguistic Geography,"Most recent studies on the geographical distribution of acoustic features analyze comparatively few speakers and localities, both of which may be unrepresentative of the diversity found in larger or more spatially fragmented populations. In the present study we introduce a new paradigm that enables the crowdsourcing of acoustic features through smartphone devices. We used Dialäkt Äpp , a free iOS app that allows users to record themselves, to crowdsource audio data. Nearly 3,000 speakers from 452 localities in German-speaking Switzerland provided recordings; we measured articulation rates for these speakers using a metric based on duration intervals between consecutive vowel onsets. Results revealed distinct regional differences in articulation rate between major dialect regions and individual localities. The specification of 452 localities enabled analyses at an unprecedented spatial resolution. Results further revealed a robust effect of gender, with women articulating significantly more slowly than men. Both the geographical patterns and the effect of gender found in this study corroborate similar findings on Swiss German previously reported in a very limited set of localities, thus verifying the validity of the crowdsourcing framework. Given the application of this new framework, a large bulk of the discussion is devoted to discussing methodological caveats."
Journal of Linguistic Geography,"This study uses a modified online version of the “draw-a-map” task and Garrett, Williams, and Evans’ (2005b) “keywords” methodology to explore the geospatial distribution of different accent and dialect labels and descriptors in Greater Manchester, UK. Specifically, we consider the distribution of the three most frequent labels related to “accentedness”: Broad , Strong , and Soft , as provided by 349 Greater Manchester residents. This analysis finds that these descriptors were clustered in separate areas of Greater Manchester, suggesting that they were being used to describe perceptually distinct varieties of English. In order to uncover the nuances in these folk-linguistic terms, we consider how they correlate with other concepts emerging from the dataset, finding that they are being used to differentiate between varieties with contrasting social associations. By combining innovative approaches, this study demonstrates how the subtleties of folk-linguistic modes of awareness can be uncovered through in-depth analysis of the terminology employed to describe linguistic variation on a very local scale. In so doing, it paves the way for further development of draw-a-map techniques that will enable similarly nuanced analysis in different regions, thus pushing the sub-discipline forward."
Journal of Linguistic Geography,"This paper provides a new classification of Central–Southern Italian dialects using dialectometric methods. All varieties considered are analyzed and cast in a data set where homogeneous areas are evaluated according to a selected list of phonetic features. Using numerical evaluation of these features and the Manhattan distance, a linguistic distance rule is defined. On this basis, the classification problem is formulated as a clustering problem, and a k-means algorithm is used. Additionally, an ad-hoc rule is set to identify transitional areas, and silhouette analysis is used to select the most appropriate number of clusters. While meaningful results are obtained for each number of clusters, a nine-group classification emerges as the most appropriate. As the results suggest, this classification is less subjective, more precise, and more comprehensive than traditional ones based on selected isoglosses."
Journal of Linguistic Geography,"The present study offers an examination of attitudes and perceptions of the Ukrainian language by respondents who have lived at least half of their life in Ukraine; they were asked to draw on a map of Ukraine where the most correct Ukrainian is spoken and where the Ukrainian that grates on one’s ears is spoken. Recruitment for the online survey was conducted by placing ads on several Ukrainian-language Facebook pages, along with a link to the survey. The findings presented are from a total of 90 analyzed surveys. Respondents’ maps were analyzed and compared using QGIS software. The research demonstrates that that there is a tug-of-war of correctness between Kyiv and Lviv. It also shows that there is an overall tendency of native speakers to evaluate the Transcarpathian region as the area that grates one’s ears ."
Journal of Linguistic Geography,"The aims of this paper are twofold. First, we locate the most effective human geographical methods for sampling across space in large-scale dialectological projects. We propose two geographical concepts as a basis for sampling decisions: Geo-demographic classification, which is a multidimensional method used for the socio-economic grouping of areas; we also develop an updated version of functional regions that can be used in sociolinguistic research. We then report on the results of a pilot project that applies these models to collect data regarding the acceptability of vernacular morphosyntactic forms in the North East of England. Following the method of natural breaks advocated for dialectology by Horvath &amp; Horvath (2002), we interpret breaks in the probabilistic patterns as areas of dialect transitions. This study contributes to the debate about the role and limitations of spatiality in linguistic analysis. It intends to broaden our knowledge about the interfaces between human geography and dialectology."
Journal of Linguistic Geography,"This paper uses dialect data to disentangle the contributions of phonology and morphology to the emergence of gender syncretism in the Dutch determiner paradigm. Quantitative and spatio-statistical analyses are used to identify an inverse relationship between phonological erosion and adoption of the innovative syncretic system, counter to expectation. That inverse relationship is shown to obscure the parallel development of the determiners in masculine and feminine contexts, leading to the suggestion that the syncretism results from a single morphological change triggered by phonological variability."
Journal of Linguistic Geography,"This paper addresses the question whether listeners possess sociolinguistic knowledge of regional variation in a sound change affecting /s/ + voiceless stop sequences in Andalusian Spanish. We tested whether speakers from Seville and Granada were perceived as more Sevillian-sounding and as younger when a stimulus contained the novel phonetic variant, a post-aspirated stop. Word-medial syllable-final /s/ was manipulated in such a way that two stimuli of the same speaker differed only in whether they contained pre-aspiration ([eh.ˈtaŋ.ko]) or post-aspiration ([e.ˈt h aŋ.ko]). Andalusian listeners rated the same speaker as younger and as more Sevillian-sounding when the stimulus contained a post-aspirated stop. The recognition of a speaker’s actual dialect was particularly high when the innovative variant was embedded in a Seville speaker’s speech, confirming earlier work that indexicality is context-specific. The results suggest that Andalusian listeners possess knowledge of the regional variation and the sound change and use this variation in social perception."
Journal of Linguistic Geography,"This paper examines the dialectology of eastern New York State. Data are considered from twelve cities and villages bridging the gap between the Inland North dialect region (home to the Northern Cities Shift [NCS]) and the Western New England region. Communities are classified as belonging to the Inland North “core,” the Inland North “fringe,” or a non–Inland North region. The settlement history of these communities is used to explain the boundaries between the dialect regions; presence of the NCS is found to correlate well with heavy migration from southwestern New England early in a community's history. Looking in detail at the different distributions of the individual sound changes involved in the NCS across the dialect regions established in this paper makes it possible to posit a reconstructed early history for the NCS and make hypotheses about the phonological character of the different sound changes."
Journal of Linguistic Geography,"The complex series of vowel changes known as the Northern Cities Shift has been extensively documented over the last four decades across the broad territory of the Inland North dialect region. Little is known, however, about the origins of the shift, and there remain open questions about where the changes began and which vowel initiated the process. This paper examines such questions by analyzing the speech of several people born in the late 19 th and early 20 th centuries using archival recordings of oral history interviews. Drawing on acoustic data we identify what appear to be early stages of the Northern Cities Shift in some individual speakers though many in the sample give no evidence of participating in the changes. We consider the implications of these findings for accounts of how the shift began with particular focus on Labov’s (2010) proposal."
Journal of Linguistic Geography,"Distinctive regional varieties of English have only recently emerged in parts of North America, including Wisconsin, where differences appear to be increasing today. We present an experiment in which listeners heard two short samples each from three Wisconsin regions and three other dialect areas. For each area, one sample was recorded pre-1970 and another recorded post-2010. Regional stereotypes were excluded. In a situation of new and still-emerging regional varieties, we expected listeners to be able to more accurately identify recent speech samples versus old samples from Wisconsin. Listeners proved better at recognizing speakers from Wisconsin in newer over older recordings. This complicates previous discussions of dialect awareness, in particular ‘enregisterment,’ with our listeners able to identify Wisconsin speech even in the absence of salient, known dialect features."
Journal of Linguistic Geography,"Geolectal variation is often present in settings where one language is spoken across a vast geographic area. This can be found in phonological, morphosyntactic, and lexical features. For practical reasons, it is not always possible to conduct fieldwork in every single location of interest in order to obtain the full pattern of variation, and a sample of them must be chosen. We propose and test a method for sampling these locations, with the goal of obtaining a distribution of typological features representative of the whole area. We apply k -means and hierarchical clustering algorithms for defining this sample, based on their geographic distribution. We test our methods against simulated data with several spatial configurations, and also against real data from Circassian dialects (Northwest Caucasian). Our results show an efficiency significantly higher than random sampling for detecting this variation, which makes our method profitable to fieldworkers when designing their research."
Journal of Linguistic Geography,"This paper presents a topic modeling approach to corpus-based dialectometry. Topic models are most often used in text mining to find latent structure in a collection of documents. They are based on the idea that frequently co-occurring words present the same underlying topic. In this study, topic models are used on interview transcriptions containing dialectal speech directly, without any annotations or preselected features. The transcriptions are modeled on complete words, on character n-grams, and after automatical segmentation. Data from three languages, Finnish, Norwegian, and Swiss German, are scrutinized. The proposed method is capable of discovering clear dialectal differences in all three datasets, while reflecting the differences between them. The method provides a significant simplification of the dialectometric workflow, simultaneously saving time and increasing objectivity. Using the method on non-normalized data could also benefit text mining, which is the traditional field of topic modeling."
Journal of Linguistic Geography,"This study explores perceptions held by speakers of Qassimi Arabic (a variety of Najdi Arabic, spoken in central Saudi Arabia) about linguistic variation in their own dialect, and the sociocultural evaluations associated with their perceptions. Drawing on perceptual dialectology research methods, respondents completed the draw-a-map and labeling tasks. The maps were collected and then analyzed using Geographic Information Systems (GIS) mapping software to aggregate, query, and create a composite heat map. Findings indicate that Qassimi speakers perceive regional variation to be associated with urban centers, particularly Buraydah and Unayzah, which were identified as the most salient dialect areas. Analysis of the labeled maps generated six categories of evaluative comments: drawl, influences from other regional dialects, heavy accent, old vocabulary, fast, and affrication. These findings point to the need for further exploration of the underlying ideologies and social values that Arabic speakers have about their own dialects and other dialects in Arabic-speaking communities."
Journal of Linguistic Geography,"This Perceptual Dialectology (PD) study asked residents of Cardiff, Wales, about their perceptions of English in the United Kingdom (UK). In addition, because face to face exposure to dialect variation has rarely been included as a variable in PD studies, participants were asked about their travel experience to ascertain whether this might influence their responses to a PD map task. Participants’ responses to the map task were analyzed using ArcGIS to create composite maps. Results show that these Cardiffians perceive “dialect or regional” speech boundaries to be located around major cities in England and Wales but also southwest Wales. Composite maps and polygon counts suggest that the more traveled respondents have a more nuanced perception of dialect regions than those who claim to travel less, suggesting that travel experience may influence PD participants’ responses to map tasks."
Journal of Linguistic Geography,"This study examines the social perceptions of the traditional Andalusian feature [ʃ] and the Castilian feature [tʃ] in the city of Huelva and the town of Lepe in Western Andalucía, Spain. A matched-guise experiment was created by digitally manipulating spontaneous speech from twelve Western Andalusian speakers, varying only in word-medial syllable-initial [tʃ] and [ʃ] for &lt;ch&gt; in disyllabic words. Based on 221 listeners from Huelva and Lepe, mixed effects linear regression models indicate that listeners evaluated speakers with [tʃ] guises as being of higher status, more cosmopolitan, and less friendly than speakers with [ʃ] guises. These findings interacted with speaker and listener gender, listener educational level, and listener origin. The implications are twofold: the traditional Andalusian feature is evaluated as less overtly prestigious than the supra-local Castilian feature; and, that two nearby communities of the same dialect variety may share similar language attitudes, but demonstrate nuanced differences in attitudes due to their unique historical and socioeconomic developments."
Journal of Linguistic Geography,"In the early 2000s, the SADS, an extensive linguistic atlas project, surveyed more than three thousand individuals across German-speaking Switzerland on over two hundred linguistic variants, capturing the morphosyntactic variation in Swiss German. In this paper, we applied TESS, a Bayesian clustering method from evolutionary biology to the SADS to infer population structure, building on parallels between biology and linguistics that have recently been illustrated theoretically and explored experimentally. We tested three clustering models with different spatial assumptions: a nonspatial model, a spatial trend model with a spatial gradient, and a spatial full-trend model with both a spatial gradient and spatial-autocorrelation. Results reveal five distinct morphosyntactic populations, four of which correspond to traditional Swiss German dialect regions and one of which corresponds to a base population. Moreover, the spatial trend model outperforms the nonspatial model, suggesting a gradual transition of morphosyntax and supporting the idea of a Swiss German dialect continuum ."
Journal of Linguistic Geography,"This paper presents the results of a survey of phonological, lexical, and morphosyntactic variation in British English, based on over 14,000 responses. We map twelve variables using geospatial “hotspot” analysis. One of our aims is to document the patterning of under- and unstudied variables. A second aim is to track changes in real time, which we do by comparing our findings to those of the 1950s-era Survey of English Dialects (SED; Orton, 1962). We improve upon previous dialectological work by paying careful attention to the phonemic status of mergers and splits: In our contemporary data, we do this by asking subjects if they have a phonemic contrast; in the SED data, we do this by superimposing the isoglosses for individual phones. We find evidence for both stability and change; we document previously unverified patterns. Perhaps most importantly, we identify a number of directions for future research."
Journal of Linguistic Geography,"In this paper we deal with the spatial distribution of 16 linguistic features known to vary between Bosnian, Croatian, Montenegrin, and Serbian. We perform our analyses on a dataset of geo-encoded Twitter status messages collected in the period from mid-2013 to the end of 2016. We perform two types of analyses. The first one finds boundaries in the spatial distribution of the linguistic variable levels through the kernel density estimation smoothing technique. These boundaries are then plotted over the state borders for a visual comparison. The second analysis deals with linguistic distance between the states. The groupings of linguistic variables and countries are calculated given the state borders and the Jensen-Shannon divergence between distributions of the 16 variables within each state. This analysis is completed with a measure of variable consistency for each country. These analyses are intended to show the extent to which current state borders correspond to linguistic boundaries. They suggest that Croatia and Serbia still represent the two extremes, reflecting a history of normative divergences, while Bosnia-Herzegovina and Montenegro, depending on the variable, lean to one or the other side."
Journal of Linguistic Geography,"This paper describes the independent construction and implementation of two cellular automata that model dialect feature diffusion as the adaptive aspect of the complex system of speech. We show how a feature, once established, can spread across an area, and how the distribution of a dialect feature as it stands in Linguistic Atlas data could either spread or diminish. Cellular automata use update rules to determine the status of a feature at a given location with respect to the status of its neighboring locations. In each iteration all locations in a matrix are evaluated, and then the new status for each one is displayed all at once. Throughout hundreds of iterations, we can watch regional distributional patterns emerge as a consequence of these simple update rules. We validate patterns with respect to the linguistic distributions known to occur in the Linguistic Atlas Project."
Journal of Linguistic Geography,"This study aims at testing whether there are regional differences in the perception of the labiodental fricative contrast in Dutch. Previous production studies have shown that the devoicing of initial labiodental fricatives is a change in progress in the Dutch language area. We present the results of a speeded identification task in which fricative stimuli were systematically varied for two phonetic cues, voicing and duration. Listeners (n=100) were regionally stratified, and the regions (k=5) reflect different stages of this sound change in progress. Voicing turned out to be the strongest categorization cue in all regions; duration only played a minor role. Regional differences showed up in the perception of the consonantal contrast that matched regional differences in production reported in previous studies. The addition of random slopes in the mixed model regression showed the importance of within-regional variation."
Journal of Linguistic Geography,"Contrary to previous “sociolinguistic folklore” that African American (Vernacular) English has a uniform structure across different parts of the US, recent studies have shown that it varies regionally, especially phonologically (Wolfram, 2007; Thomas &amp; Wassink, 2010). However, there is little research on how Americans perceive AAE variation. Based on a map-labeling task, we investigate the folk perception of AAE variation by 55 participants, primarily African Americans in Columbus, Ohio. The analysis focuses on the dialect regions recognized by the participants, the linguistic features associated with different regions, and the attitudes associated with these beliefs. While the perceived regional boundaries mostly align with those identified by speakers in previous perceptual dialectology studies on American English, the participants consistently identified linguistic features that were specific to AAE. The participants recognized substantial phonological and lexical variation and identified “proper” dialects that do not necessarily sound “white”. This study demonstrates the value of considering African Americans’ perspectives in describing African American varieties of English."
Journal of Linguistic Geography,"This paper investigates whether European Francophone subjects are able to distinguish between regional French accents from (northern) France, Belgium, and Switzerland, and at what level of granularity. In total, samples from 120 speakers (from five different areas in each country under study) were presented to hundreds of native French listeners from these three countries. In a first set of experiments, listeners were asked to identify the speakers’ country of origin: they achieved 60% correct identification on average, with significant effects of listeners’ region of origin, speakers’ age, socioeconomic status, and region of origin. In a second set of experiments, listeners from Belgium, France, and Switzerland were asked to identify the speakers’ region of origin within each country (5-alternative forced choice). Results, albeit above chance, proved to be poorer than they were in the first set of experiments (31% correct identification on average). Complementary analyses were conducted to evaluate the role of listeners’ region of origin, speakers’ age, speakers’ region of origin, and their interaction. They showed asymmetrical response patterns across the three countries under investigation: France (or, within France, Paris, which represents the norm) seems to act as a magnet and a catalyst of unification. Younger generations, especially, are more often associated with its way of speaking when their accent is not clearly identifiable. Switzerland, though, resists this homogenizing process better than Belgium does."
Journal of Linguistic Geography,"The distances between urban and suburban spaces, while small in Euclidean terms, have a rather large social reality. This paper calls attention to two reasons for this—suburban development and metropolitan fragmentation—and situates these phenomena within the context of sociological and historical thought about metropolitan areas. I test their role in linguistic variation through a case study of three Northern Cities Shift features (raised trap , fronted lot , and lowered thought ) in English of the St. Louis metropolitan area. I show that these features diffused throughout the region in three different ways. Additionally, phonological conditioning of lot -fronting differs between urban and suburban speakers, and retreat from urban dialect features is led in the suburbs. These findings highlight the need to consider the geography of metropolitan areas more deeply in studies of language variation and change in metropolitan areas, as similarity across a metropolitan area should not be assumed a priori ."
